words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Marcos Senesi-Marcos Senesi-Marcos Senesi-Milos Kerkez-Milos Kerkez-Milos Kerkez-Marcos Senesi-Marcos Senesi-Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Justin Kluivert-Justin Kluivert-Justin Kluivert-Lewis Cook-Lewis Cook-Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Illia Zabarnyi,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure,Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Interception-Pass-Ball Receipt-Carry-Miscontrol-Pressure,Milos Kerkez-Justin Kluivert-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo-Antoine Semenyo,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Carry,Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Dribble-Carry,Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Shot,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Duel,Illia Zabarnyi,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Marcos Senesi,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance-Duel,Milos Kerkez-Ryan Christie,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Receipt,Francisco Evanilson de Lima Barbosa,3955731,AFC Bournemouth,Lost,2,3,First half
Ball Recovery-Pressure,Milos Kerkez-Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance-Duel,Marcos Senesi-Justin Kluivert,3955731,AFC Bournemouth,Lost,2,3,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Milos Kerkez-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Francisco Evanilson de Lima Barbosa-Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Milos Kerkez,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Lewis Cook,3955731,AFC Bournemouth,Lost,2,3,First half
Pressure-Ball Receipt,Tyler Adams-Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Clearance,Adam Smith,3955731,AFC Bournemouth,Lost,2,3,First half
Block,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
Pass,Tyler Adams,3955731,AFC Bournemouth,Lost,2,3,First half
