words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Dribble,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure-Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block-Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Shot,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Shot,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3955878,AFC Bournemouth,Won,3,1
Foul Committed,3955878,AFC Bournemouth,Won,3,1
Foul Committed,3955878,AFC Bournemouth,Won,3,1
Injury Stoppage-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dispossessed,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Shot,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Dribble,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Dribble,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Foul Committed,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Duel,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past,3955878,AFC Bournemouth,Won,3,1
Clearance,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Dribbled Past-Pressure,3955878,AFC Bournemouth,Won,3,1
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Block,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dribble-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Shot,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Shot,3955878,AFC Bournemouth,Won,3,1
Block-Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure-Pressure,3955878,AFC Bournemouth,Won,3,1
Duel-Carry,3955878,AFC Bournemouth,Won,3,1
Dispossessed,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Dribble,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Miscontrol,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Clearance,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Dribble-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry,3955878,AFC Bournemouth,Won,3,1
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Foul Committed,3955878,AFC Bournemouth,Won,3,1
Goal Keeper-Pass-Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Pressure,3955878,AFC Bournemouth,Won,3,1
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Carry-Pass,3955878,AFC Bournemouth,Won,3,1
Ball Receipt-Pass-Ball Receipt,3955878,AFC Bournemouth,Won,3,1
Duel,3955878,AFC Bournemouth,Won,3,1
Pass,3955878,AFC Bournemouth,Won,3,1
