words,match_id,team_name
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Foul Won-Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Foul Won-Dribble-Carry,3945013,AC Milan
Pass-Shot-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Ball Recovery-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Dribble-Carry,3945013,AC Milan
Pass-Shot-Ball Receipt,3945013,AC Milan
Ball Recovery-Shot,3945013,AC Milan
Ball Recovery-Shot,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure-Pressure-Pressure,3945013,AC Milan
Block-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass,3945013,AC Milan
Ball Receipt-Miscontrol-Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel-Substitution-Substitution-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble,3945013,AC Milan
50/50-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Block-Clearance,3945013,AC Milan
Clearance,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Duel,3945013,AC Milan
Clearance,3945013,AC Milan
Pressure,3945013,AC Milan
Block-Goal Keeper-Ball Recovery,3945013,AC Milan
Goal Keeper,3945013,AC Milan
Clearance-Pressure,3945013,AC Milan
Duel-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure-Foul Committed,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry-Dribble-Carry,3945013,AC Milan
Pressure,3945013,AC Milan
Foul Committed,3945013,AC Milan
Dribbled Past,3945013,AC Milan
Interception-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Block,3945013,AC Milan
Pressure,3945013,AC Milan
Duel-Carry,3945013,AC Milan
Miscontrol,3945013,AC Milan
Pressure,3945013,AC Milan
Block-Goal Keeper-Ball Recovery-Carry,3945013,AC Milan
Foul Won-Substitution-Substitution-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Shot-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Foul Committed,3945013,AC Milan
Tactical Shift,3945013,AC Milan
Goal Keeper-Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3945013,AC Milan
Ball Receipt-Carry-Dribble-Carry,3945013,AC Milan
50/50-Ball Recovery-Carry,3945013,AC Milan
Shot,3945013,AC Milan
Ball Recovery-Carry,3945013,AC Milan
Dribble-Carry,3945013,AC Milan
Pressure,3945013,AC Milan
Pass,3945013,AC Milan
Ball Receipt-Pass,3945013,AC Milan
Ball Receipt-Carry-Dispossessed,3945013,AC Milan
Pressure,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt-Carry,3945013,AC Milan
Pass-Ball Receipt-Pass,3945013,AC Milan
Ball Receipt,3945013,AC Milan
Pressure,3945013,AC Milan
Pass-Ball Receipt,3945013,AC Milan
