words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Theo Bernard François Hernández-Strahinja Pavlović-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Christian Pulisic-Noah Okafor-Noah Okafor-Noah Okafor-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Foul Committed,Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,Theo Bernard François Hernández-Strahinja Pavlović-Strahinja Pavlović-Mike Maignan-Mike Maignan-Mike Maignan,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze-Malick Thiaw-Malick Thiaw-Malick Thiaw-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Christian Pulisic-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Álvaro Borja Morata Martín-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Youssouf Fofana-Youssouf Fofana,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Filippo Terracciano-Filippo Terracciano-Mike Maignan-Mike Maignan-Mike Maignan-Strahinja Pavlović-Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half
Pass,Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Dribble,Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Filippo Terracciano-Malick Thiaw-Malick Thiaw-Malick Thiaw-Mike Maignan-Mike Maignan-Mike Maignan-Christian Pulisic-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt,Christian Pulisic-Malick Thiaw-Malick Thiaw-Malick Thiaw-Tijjani Reijnders,3945064,AC Milan,Won,1,0,First half
Pressure,Noah Okafor,3945064,AC Milan,Won,1,0,First half
Pressure-Pressure,Tijjani Reijnders-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Duel,Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half
Pressure-Pressure-Foul Committed,Christian Pulisic-Strahinja Pavlović-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Block-Goal Keeper,Theo Bernard François Hernández-Mike Maignan,3945064,AC Milan,Won,1,0,First half
Goal Keeper-Pass-Ball Receipt-Pass,Mike Maignan-Mike Maignan-Filippo Terracciano-Filippo Terracciano,3945064,AC Milan,Won,1,0,First half
Ball Receipt,Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Christian Pulisic-Filippo Terracciano-Malick Thiaw-Malick Thiaw-Filippo Terracciano-Filippo Terracciano-Filippo Terracciano-Samuel Chimerenka Chukwueze-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Samuel Chimerenka Chukwueze-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović-Strahinja Pavlović-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana-Malick Thiaw-Malick Thiaw-Malick Thiaw-Mike Maignan-Mike Maignan-Mike Maignan-Tijjani Reijnders-Tijjani Reijnders-Tijjani Reijnders-Malick Thiaw-Malick Thiaw-Malick Thiaw-Strahinja Pavlović-Strahinja Pavlović,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Strahinja Pavlović-Mike Maignan-Mike Maignan-Mike Maignan-Strahinja Pavlović-Strahinja Pavlović-Mike Maignan-Mike Maignan,3945064,AC Milan,Won,1,0,First half
Pass,Mike Maignan,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Pass-Ball Receipt,Noah Okafor-Noah Okafor-Noah Okafor-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Mike Maignan-Strahinja Pavlović-Mike Maignan-Mike Maignan-Filippo Terracciano-Filippo Terracciano-Mike Maignan-Mike Maignan-Mike Maignan-Youssouf Fofana-Youssouf Fofana-Youssouf Fofana,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Pass-Ball Receipt-Carry,Mike Maignan-Mike Maignan-Theo Bernard François Hernández-Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half
Pass,Theo Bernard François Hernández,3945064,AC Milan,Won,1,0,First half
Ball Receipt-Carry-Miscontrol-Duel,Noah Okafor-Noah Okafor-Noah Okafor-Noah Okafor,3945064,AC Milan,Won,1,0,First half
Pressure,Noah Okafor,3945064,AC Milan,Won,1,0,First half
Pass-Ball Receipt,Strahinja Pavlović-Christian Pulisic,3945064,AC Milan,Won,1,0,First half
Block-Pass,Christian Pulisic-Samuel Chimerenka Chukwueze,3945064,AC Milan,Won,1,0,First half
