words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt-Duel,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Bad Behaviour,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Miscontrol,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Ball Receipt,3955633,Arsenal,Won,2,0,First half
Goal Keeper,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Duel,3955633,Arsenal,Won,2,0,First half
Clearance,3955633,Arsenal,Won,2,0,First half
Duel-Block-Ball Recovery,3955633,Arsenal,Won,2,0,First half
Clearance,3955633,Arsenal,Won,2,0,First half
Goal Keeper,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Dribble-Carry,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Dribble-Carry,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Dribbled Past-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Dribbled Past-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure-Pressure-Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Interception-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Foul Committed,3955633,Arsenal,Won,2,0,First half
Ball Recovery,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Duel,3955633,Arsenal,Won,2,0,First half
Pressure-Foul Committed,3955633,Arsenal,Won,2,0,First half
Pressure,3955633,Arsenal,Won,2,0,First half
Dispossessed,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Dribble,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry-Dribble-Carry,3955633,Arsenal,Won,2,0,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3955633,Arsenal,Won,2,0,First half
Pass,3955633,Arsenal,Won,2,0,First half
Shot,3955633,Arsenal,Won,2,0,First half
Pass-Ball Receipt,3955633,Arsenal,Won,2,0,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3955633,Arsenal,Won,2,0,First half
Ball Receipt-Carry,3955633,Arsenal,Won,2,0,First half
Duel-Pressure,3955633,Arsenal,Won,2,0,First half
