words,match_id,team_name,outcome,goals_scored,goals_conceded
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Shot,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Shot,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Dribble,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Foul Won-Shot,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble,3946626,Barcelona,Won,1,0
Pressure-Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Dribble,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Ball Recovery-Shot,3946626,Barcelona,Won,1,0
Ball Recovery-Shot,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure-Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Foul Committed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block-Pressure,3946626,Barcelona,Won,1,0
Foul Committed,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Pressure-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Goal Keeper,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Foul Won-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Dribbled Past,3946626,Barcelona,Won,1,0
Duel-Carry,3946626,Barcelona,Won,1,0
Dispossessed,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure-Pressure-Pressure,3946626,Barcelona,Won,1,0
Pressure-Pressure,3946626,Barcelona,Won,1,0
Block-Goal Keeper-Pressure-Pressure,3946626,Barcelona,Won,1,0
Goal Keeper-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Miscontrol,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Dribble-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure-Pressure,3946626,Barcelona,Won,1,0
Block,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Foul Won-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block-Clearance-Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Dribbled Past,3946626,Barcelona,Won,1,0
Clearance-Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block,3946626,Barcelona,Won,1,0
Goal Keeper-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Dribbled Past-Foul Committed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Block,3946626,Barcelona,Won,1,0
Clearance,3946626,Barcelona,Won,1,0
Clearance,3946626,Barcelona,Won,1,0
Block-Goal Keeper,3946626,Barcelona,Won,1,0
Ball Recovery-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Clearance,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dispossessed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol-Pressure,3946626,Barcelona,Won,1,0
Foul Committed,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Ball Recovery-Carry,3946626,Barcelona,Won,1,0
Pass-Pressure-Ball Receipt,3946626,Barcelona,Won,1,0
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Miscontrol-Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Duel-Ball Recovery-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Miscontrol,3946626,Barcelona,Won,1,0
Pass,3946626,Barcelona,Won,1,0
Ball Receipt-Carry-Pass-Ball Receipt,3946626,Barcelona,Won,1,0
Pressure,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
Dribble-Carry,3946626,Barcelona,Won,1,0
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946626,Barcelona,Won,1,0
