words,match_id,team_name,outcome
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Pressure-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Duel,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3946427,Athletic Club,Lost
Dribbled Past-Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3946427,Athletic Club,Lost
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Dribble-Carry,3946427,Athletic Club,Lost
Dribble,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dispossessed,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Dispossessed,3946427,Athletic Club,Lost
Ball Recovery-Shot,3946427,Athletic Club,Lost
Ball Recovery-Foul Committed,3946427,Athletic Club,Lost
Pressure-Pressure-Foul Committed,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Block-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Interception-Carry,3946427,Athletic Club,Lost
Pass-Pressure-Ball Receipt,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3946427,Athletic Club,Lost
Dribble-Carry,3946427,Athletic Club,Lost
Dribble-Carry,3946427,Athletic Club,Lost
Pass-Ball Receipt-Carry-Pass-Ball Receipt,3946427,Athletic Club,Lost
Pressure-Foul Committed,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Pass-Ball Receipt-Duel,3946427,Athletic Club,Lost
Pressure-Foul Committed,3946427,Athletic Club,Lost
Ball Recovery-Carry,3946427,Athletic Club,Lost
Pass,3946427,Athletic Club,Lost
Ball Receipt-Carry-Dribble,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Foul Committed,3946427,Athletic Club,Lost
Pressure,3946427,Athletic Club,Lost
Ball Recovery-Carry,3946427,Athletic Club,Lost
