words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception-Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Duel,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure-Foul Committed,3949709,Augsburg,Won,1,0,Second half
Block-Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Pressure,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Duel-Ball Recovery-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Interception,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Interception-Carry-Pass-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Pressure-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Dribbled Past,3949709,Augsburg,Won,1,0,Second half
50/50,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Dribbled Past-Pressure,3949709,Augsburg,Won,1,0,Second half
Foul Won-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Shot,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Miscontrol-Pressure,3949709,Augsburg,Won,1,0,Second half
Interception,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Duel-Ball Recovery-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Carry-Dribble,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Shot,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Block,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Goal Keeper-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Duel-Pass-Ball Receipt-Carry-Dribble-Carry,3949709,Augsburg,Won,1,0,Second half
Miscontrol-Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass,3949709,Augsburg,Won,1,0,Second half
Duel-Ball Recovery-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure-Foul Committed,3949709,Augsburg,Won,1,0,Second half
Pressure-Foul Committed,3949709,Augsburg,Won,1,0,Second half
Block-Goal Keeper,3949709,Augsburg,Won,1,0,Second half
Injury Stoppage,3949709,Augsburg,Won,1,0,Second half
Referee Ball-Drop,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry-Dispossessed,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Shot,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Carry,3949709,Augsburg,Won,1,0,Second half
Foul Won,3949709,Augsburg,Won,1,0,Second half
Injury Stoppage-Player Off-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Receipt-Pass-Ball Receipt-Pass,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Shot,3949709,Augsburg,Won,1,0,Second half
Player On,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Interception-50/50,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Pressure,3949709,Augsburg,Won,1,0,Second half
Goal Keeper,3949709,Augsburg,Won,1,0,Second half
Pass-Ball Receipt-Duel,3949709,Augsburg,Won,1,0,Second half
Duel,3949709,Augsburg,Won,1,0,Second half
Ball Recovery-Carry,3949709,Augsburg,Won,1,0,Second half
