words,word_players,match_id,team_name
Ball Recovery-Carry-Pass-Ball Receipt-Carry,Arne Engels-Arne Engels-Arne Engels-Phillip Tietz-Phillip Tietz,3949489,Augsburg
Pass-Ball Receipt-Carry,Phillip Tietz-Arne Engels-Arne Engels,3949489,Augsburg
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Arne Engels-Arne Maier-Arne Maier-Arne Maier-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Arne Engels-Arne Engels-Arne Engels,3949489,Augsburg
Pressure,Jeffrey Gouweleeuw,3949489,Augsburg
Duel,Jeffrey Gouweleeuw,3949489,Augsburg
Pressure,Phillip Tietz,3949489,Augsburg
Goal Keeper-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Arne Maier-Arne Maier-Arne Maier-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
Ball Receipt-Carry-Pass-Ball Receipt-Carry,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Keven Schlotterbeck-Keven Schlotterbeck,3949489,Augsburg
Pass,Keven Schlotterbeck,3949489,Augsburg
Pressure,Tim Breithaupt,3949489,Augsburg
Dribbled Past,Tim Breithaupt,3949489,Augsburg
Pass,Keven Schlotterbeck,3949489,Augsburg
Pressure-Pressure,Arne Maier-Dimitris Giannoulis,3949489,Augsburg
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,Dimitris Giannoulis-Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Mads Pedersen-Mads Pedersen-Mads Pedersen-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg
Goal Keeper,Nediljko Labrović,3949489,Augsburg
Pressure,Mads Pedersen,3949489,Augsburg
Interception-Carry-Pass,Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg
