words,word_players,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pass,Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pass-Substitution-Tactical Shift,Arne Engels-Phillip Tietz-Unknown,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass,Maximilian Bauer-Mads Pedersen-Mads Pedersen-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry-Pass,Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Foul Committed,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Dribbled Past-Pass-Ball Receipt,Mads Pedersen-Keven Schlotterbeck-Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Clearance-Ball Recovery-Carry-Dribble-Carry,Jeffrey Gouweleeuw-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Dispossessed,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry,Samuel Emmanuel Essende Mbongu-Mads Pedersen-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Carry,Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pass,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Carry-Pass,Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass,Arne Maier,3949489,Augsburg,Drawn,2,2,First half
Shot,Tim Breithaupt,3949489,Augsburg,Drawn,2,2,First half
Dribble-Carry,Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt,Arne Maier-Tim Breithaupt,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry,Arne Maier-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Arne Maier-Arne Maier-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry,Dimitris Giannoulis-Arne Maier-Arne Maier,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Arne Engels-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Phillip Tietz-Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
Goal Keeper-Pass-Ball Receipt-Pass,Nediljko Labrović-Nediljko Labrović-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Duel,Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Clearance,Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Block-Goal Keeper-Pressure,Keven Schlotterbeck-Nediljko Labrović-Tim Breithaupt,3949489,Augsburg,Drawn,2,2,First half
Clearance,Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry-Pass,Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Pass,Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass,Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Dimitris Giannoulis-Arne Maier-Arne Maier-Arne Maier-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Arne Maier-Arne Maier,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry,Phillip Tietz-Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
Pressure,Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass,Arne Maier-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt,3949489,Augsburg,Drawn,2,2,First half
Foul Committed,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Foul Committed,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Pass,Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Shield-Pass-Ball Receipt-Carry,Dimitris Giannoulis-Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Pressure,Arne Maier,3949489,Augsburg,Drawn,2,2,First half
Pressure,Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Pass,Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Pass,Jeffrey Gouweleeuw-Phillip Tietz-Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
Duel,Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Pressure,Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt,Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Tim Breithaupt-Tim Breithaupt-Tim Breithaupt-Dimitris Giannoulis-Dimitris Giannoulis-Dimitris Giannoulis-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Clearance,Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Goal Keeper,Nediljko Labrović,3949489,Augsburg,Drawn,2,2,First half
Block,Arne Maier,3949489,Augsburg,Drawn,2,2,First half
Interception,Tim Breithaupt,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Duel,Jeffrey Gouweleeuw-Samuel Emmanuel Essende Mbongu-Samuel Emmanuel Essende Mbongu,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,Keven Schlotterbeck-Nediljko Labrović-Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Dribble,Phillip Tietz,3949489,Augsburg,Drawn,2,2,First half
Goal Keeper-Pass-Ball Receipt,Nediljko Labrović-Nediljko Labrović-Jeffrey Gouweleeuw,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass,Arne Engels-Arne Engels-Niklas Dorsch-Niklas Dorsch-Niklas Dorsch-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj-Dimitris Giannoulis-Dimitris Giannoulis,3949489,Augsburg,Drawn,2,2,First half
Pass,Arne Engels,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Shot,Mads Pedersen-Mads Pedersen,3949489,Augsburg,Drawn,2,2,First half
Foul Won-Pass,Elvis Rexhbeçaj-Niklas Dorsch,3949489,Augsburg,Drawn,2,2,First half
Ball Recovery-Carry,Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Ball Receipt-Carry-Pass,Elvis Rexhbeçaj-Elvis Rexhbeçaj-Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Pass,Elvis Rexhbeçaj-Steve Michel Mounié-Steve Michel Mounié,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Duel,Mads Pedersen-Niklas Dorsch-Niklas Dorsch-Mads Pedersen-Mads Pedersen-Mads Pedersen-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck-Keven Schlotterbeck-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Jeffrey Gouweleeuw-Elvis Rexhbeçaj,3949489,Augsburg,Drawn,2,2,First half
Pass,Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Pass-Ball Receipt-Carry,Jeffrey Gouweleeuw-Keven Schlotterbeck-Keven Schlotterbeck,3949489,Augsburg,Drawn,2,2,First half
Pressure,Fredrik Jensen,3949489,Augsburg,Drawn,2,2,First half
Pressure,Steve Michel Mounié,3949489,Augsburg,Drawn,2,2,First half
