words,match_id,team_name,outcome,goals_scored,goals_conceded,season_half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Foul Won-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Injury Stoppage,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Miscontrol-Ball Recovery-Carry,3944962,AC Milan,Drawn,2,2,First half
Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Foul Won-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Bad Behaviour,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Shot,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Carry-Shot,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Shot,3944962,AC Milan,Drawn,2,2,First half
Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Pressure-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Pressure,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery,3944962,AC Milan,Drawn,2,2,First half
Duel,3944962,AC Milan,Drawn,2,2,First half
Block,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Shot,3944962,AC Milan,Drawn,2,2,First half
Ball Receipt-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Carry-Pass-Ball Receipt-Carry-Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Dribble-Carry,3944962,AC Milan,Drawn,2,2,First half
Goal Keeper-Carry,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Shot,3944962,AC Milan,Drawn,2,2,First half
Ball Recovery-Shot,3944962,AC Milan,Drawn,2,2,First half
Foul Won-Pass-Ball Receipt-Miscontrol,3944962,AC Milan,Drawn,2,2,First half
Pass,3944962,AC Milan,Drawn,2,2,First half
Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry-Pass-Ball Receipt-Carry,3944962,AC Milan,Drawn,2,2,First half
